Transaction_ID;Date_Commande;Client_ID;Produit_ID;Commercial_ID;Quantite;Prix_Unitaire;Remise_Pct;Canal;Statut_Commande
V00035;2026-03-30;C0125;P031;COM04;7;174,45 €;15,0%;E-commerce;Livrée
V00036;2026-03-17;C0030;P034;COM06;9;165,20 €;0,0%;Téléphone;En cours
V00037;2026-09-06;C0016;P015;COM05;5;41,92 €;15,0%;Téléphone;Livrée
V00038;2025-10-24;C0095;P001;COM09;8;425,58 €;0,0%;Téléphone;En cours
V00039;2026-06-30;C0065;P005;COM06;7;398,37 €;0,0%;Partenaire;Livrée
V00040;2026-04-16;C0021;P040;COM02;7;155,44 €;10,0%;Partenaire;Livrée
V00041;2025-04-28;C0120;P022;COM03;3;184,48 €;8,0%;Partenaire;Livrée
V00042;2025-04-01;C0128;P017;COM01;7;46,21 €;8,0%;E-commerce;En cours
V00043;2025-11-14;C0099;P023;COM09;3;197,74 €;10,0%;E-commerce;Annulée
V00044;2026-06-07;C0052;P024;COM10;12;321,35 €;10,0%;Téléphone;Livrée
V00045;2025-04-16;C0040;P014;COM10;3;42,69 €;15,0%;E-commerce;Livrée
V00046;2026-05-21;C0136;P040;COM10;11;156,69 €;8,0%;Commercial terrain;Livrée
V00047;2025-06-04;C0129;P999;COM07;8;228,21 €;15,0%;Commercial terrain;Annulée
V00048;2025-02-27;C0104;P021;COM01;8;304,69 €;;Commercial terrain;Livrée
V00049;2025-03-20;C0025;P032;COM10;10;141,22 €;15,0%;E-commerce;En cours
V00050;2026-08-09;C0051;P033;COM08;9;213,99 €;0,0%;Partenaire;Livrée
V00051;2025-12-18;C0023;P003;COM09;4;599,95 €;5,0%;Téléphone;Livrée
V00052;2026-01-17;C0080;P029;COM04;6;163,59 €;0,0%;Commercial terrain;Livrée
V00053;2025-12-04;C0026;P020;COM06;5;50,16 €;10,0%;Téléphone;Livrée
V00054;2025-03-25;C0039;P021;COM06;11;314,67 €;5,0%;Téléphone;Annulée
V00055;2025-03-28;C0088;P023;COM10;3;214,15 €;15,0%;E-commerce;En cours
V00056;2026-06-05;C0106;P025;COM03;5;268,65 €;0,0%;Commercial terrain;En cours
V00057;2025-07-16;C0063;P011;COM01;2;39,33 €;15,0%;E-commerce;Annulée
V00058;2026-07-07;C0011;P010;COM04;10;404,24 €;0,0%;Téléphone;Annulée
V00059;2025-06-19;C0129;P029;COM07;6;163,54 €;0,0%;Partenaire;Annulée
V00060;2025-10-19;C0132;P037;COM01;4;193,28 €;15,0%;Partenaire;Livrée
V00061;2026-01-12;C0129;P020;COM08;7;48,74 €;5,0%;Téléphone;Livrée
V00062;2026-09-12;C0038;P004;COM04;11;662,00 €;3,0%;E-commerce;Annulée
V00063;2025-05-08;C0080;P012;COM03;5;65,63 €;8,0%;Téléphone;En cours
V00064;2025-04-04;C0062;P024;COM06;1;299,62 €;5,0%;Commercial terrain;Livrée
V00065;2026-01-31;C0022;P016;COM04;1;71,26 €;0,0%;Commercial terrain;Livrée
V00066;2025-05-21;C0011;P033;COM04;12;234,13 €;15,0%;Partenaire;En cours
V00067;2025-01-06;C0022;P018;COM03;4;75,41 €;8,0%;Partenaire;Livrée
V00068;2025-10-23;C0068;P009;COM04;1;537,91 €;10,0%;Partenaire;Livrée
V00069;2025-04-24;C0147;P035;COM07;10;123,26 €;0,0%;Commercial terrain;En cours
V00070;2025-01-02;C0104;P040;COM01;7;147,59 €;10,0%;E-commerce;Annulée
V00071;2026-01-05;C0019;P026;COM03;8;293,76 €;5,0%;Commercial terrain;Livrée
V00072;2025-01-17;C0105;P024;COM09;4;312,34 €;10,0%;E-commerce;Annulée
V00073;2025-12-07;C0037;P024;COM01;9;296,57 €;10,0%;Téléphone;En cours
V00074;2026-05-06;C0049;P005;COM09;12;394,08 €;5,0%;E-commerce;Livrée
V00075;2025-07-26;C0013;P003;COM09;6;617,35 €;8,0%;Partenaire;Annulée
V00076;2026-04-30;C0072;P014;COM09;5;41,32 €;15,0%;E-commerce;Livrée
V00077;2025-10-07;C0034;P030;COM04;7;151,62 €;5,0%;Commercial terrain;Livrée
V00078;2026-05-24;C0147;P036;COM08;5;131,65 €;10,0%;Partenaire;Livrée
V00079;2026-03-17;C0049;P022;COM10;2;167,59 €;10,0%;Commercial terrain;Livrée
V00080;2026-04-02;C0126;P031;COM09;6;178,58 €;10,0%;Commercial terrain;Annulée
V00081;2026-03-22;C0078;P005;COM05;11;387,12 €;3,0%;Téléphone;Livrée
V00082;2025-05-27;C0129;P010;COM07;2;396,60 €;10,0%;Commercial terrain;Livrée
V00083;2026-01-28;C0010;P031;COM01;6;176,79 €;15,0%;E-commerce;Annulée
V00084;2025-05-21;C0108;P022;COM06;11;172,25 €;0,0%;E-commerce;Livrée
V00085;2026-05-27;C0115;P018;COM03;5;74,17 €;0,0%;Commercial terrain;En cours
V00086;2025-07-24;C0034;P005;COM03;8;363,79 €;10,0%;Partenaire;Livrée
V00087;2025-11-24;C0102;P039;COM07;9;135,79 €;3,0%;Téléphone;Livrée
V00088;2026-01-06;C0150;P009;COM07;4;578,62 €;0,0%;Partenaire;Livrée
V00089;2026-01-05;C0109;P039;COM04;3;141,72 €;0,0%;E-commerce;Livrée
V00090;2026-02-12;C0142;P029;COM06;10;150,83 €;3,0%;E-commerce;En cours
V00091;2026-04-23;C0102;P039;COM07;11;141,27 €;15,0%;Téléphone;En cours
V00092;2026-05-30;C0016;P036;COM05;3;123,35 €;0,0%;Commercial terrain;Livrée
V00093;2025-12-21;C0080;P018;COM03;4;73,51 €;8,0%;Commercial terrain;Livrée
V00094;2025-11-07;C0025;P011;COM09;3;41,26 €;10,0%;Commercial terrain;Annulée
V00095;2025-02-12;C0009;P003;COM01;11;604,83 €;3,0%;Téléphone;Annulée
V00096;2026-03-03;C0009;P037;COM02;5;201,98 €;3,0%;Partenaire;Livrée
V00097;2026-02-20;C0085;P005;COM04;12;358,14 €;5,0%;Partenaire;En cours
V00098;2026-04-21;C0055;P011;COM10;6;42,34 €;3,0%;Commercial terrain;En cours
V00099;2025-05-14;C0109;P022;COM03;4;176,64 €;3,0%;Partenaire;Livrée
V00100;2025-05-25;C0026;P020;COM05;7;51,06 €;5,0%;Téléphone;Livrée
V00101;2025-12-02;C0089;P012;COM07;8;70,40 €;5,0%;Partenaire;Livrée
V00102;2026-05-25;C0007;P027;COM09;9;193,68 €;0,0%;Téléphone;Annulée
V00103;2025-12-28;C0014;P020;COM05;8;49,35 €;15,0%;Partenaire;Livrée
V00104;2026-07-04;C0004;P030;COM09;3;154,32 €;10,0%;Commercial terrain;En cours
V00105;2026-01-10;C0013;P004;COM10;10;669,12 €;3,0%;Commercial terrain;Livrée
V00106;2026-01-31;C0149;P039;COM02;5;145,65 €;8,0%;E-commerce;Livrée
V00107;2025-04-10;C0116;P023;COM10;9;221,58 €;15,0%;Téléphone;Livrée
V00108;2026-09-09;C0150;P035;COM08;1;119,95 €;0,0%;Commercial terrain;En cours
V00109;2026-06-16;C0134;P035;COM09;3;124,71 €;8,0%;Commercial terrain;Livrée
V00110;2026-02-07;C0085;P035;COM04;9;128,15 €;10,0%;Commercial terrain;En cours
V00111;2025-01-18;C0109;P009;COM04;7;563,30 €;15,0%;E-commerce;Annulée
V00112;2026-05-01;C0075;P004;COM01;10;661,99 €;8,0%;Partenaire;Livrée
V00113;2025-09-06;C0010;P014;COM01;1;41,79 €;5,0%;Téléphone;En cours
V00114;2025-07-28;C0122;P004;COM06;12;632,00 €;0,0%;Commercial terrain;En cours
V00115;2026-06-23;C0112;P013;COM02;8;58,22 €;3,0%;Commercial terrain;Livrée
V00116;2026-05-11;C0052;P019;COM09;9;71,56 €;3,0%;Commercial terrain;Livrée
V00117;2026-05-16;C0091;P024;COM06;9;320,37 €;15,0%;Commercial terrain;Livrée
V00118;2025-05-05;C0113;P024;COM08;3;294,64 €;3,0%;E-commerce;Livrée
V00119;2026-03-29;C0073;P015;COM08;4;41,31 €;3,0%;Commercial terrain;Livrée
V00120;2025-04-22;C0069;P004;COM09;11;699,20 €;0,0%;Téléphone;Livrée
V00121;2025-04-13;C0122;P033;COM06;2;229,69 €;0,0%;E-commerce;Annulée
V00122;2025-06-11;C0121;P033;COM02;11;215,43 €;3,0%;Commercial terrain;Livrée
V00123;2025-03-02;C0024;P037;COM03;12;204,11 €;0,0%;Téléphone;En cours
V00124;2025-06-30;C0011;P034;COM04;3;170,95 €;15,0%;Commercial terrain;Livrée
V00125;2025-01-10;C0085;P023;COM03;5;208,19 €;10,0%;Partenaire;Livrée
V00126;2026-06-01;C0137;P014;COM02;2;41,18 €;10,0%;Partenaire;Livrée
V00127;2025-07-10;C0005;P020;COM02;10;49,84 €;0,0%;Téléphone;Annulée
V00128;2026-02-20;C0126;P006;COM10;7;508,71 €;0,0%;Téléphone;En cours
V00129;2025-11-28;C0071;P018;COM07;7;69,70 €;15,0%;Commercial terrain;Livrée
V00130;2025-11-06;C0004;P025;COM10;12;270,73 €;10,0%;E-commerce;En cours
V00131;2025-11-11;C0043;P035;COM08;12;132,15 €;10,0%;E-commerce;Livrée
V00132;2026-01-12;C0062;P010;COM05;8;392,11 €;10,0%;Commercial terrain;En cours
V00133;2026-07-17;C0139;P017;COM05;11;47,21 €;15,0%;E-commerce;Annulée
V00134;2026-04-03;C0106;P040;COM03;2;145,04 €;8,0%;Téléphone;Annulée
V00135;2026-07-04;C0041;P022;COM03;9;176,07 €;10,0%;Téléphone;Annulée
V00136;2026-05-16;C0025;P004;COM10;8;631,46 €;5,0%;Partenaire;Annulée
V00137;2025-03-01;C0136;P002;COM10;7;739,36 €;0,0%;Téléphone;Annulée
V00138;2025-03-16;C0013;P024;COM10;12;285,58 €;0,0%;E-commerce;En cours
V00139;2025-02-02;C0082;P013;COM04;3;57,16 €;10,0%;Partenaire;Livrée
V00140;2026-01-27;C0132;P026;COM02;2;320,13 €;10,0%;Téléphone;Livrée
V00141;2025-05-02;C0048;P036;COM10;3;130,43 €;0,0%;E-commerce;Livrée
V00142;2025-11-02;C0136;P037;COM10;7;206,73 €;0,0%;Partenaire;Livrée
V00143;2025-06-08;C0078;P009;COM05;1;579,90 €;5,0%;E-commerce;Livrée
V00144;2025-07-31;C0019;P003;COM03;8;591,48 €;10,0%;E-commerce;Livrée
V00145;2025-02-15;C0119;P016;COM04;9;70,28 €;15,0%;E-commerce;Livrée
V00146;2026-05-31;C0083;P040;COM09;6;155,52 €;15,0%;Commercial terrain;Livrée
V00147;2025-11-06;C0039;P029;COM05;5;155,07 €;8,0%;Téléphone;En cours
V00148;2026-07-24;C0146;P024;COM05;11;309,88 €;15,0%;Commercial terrain;En cours
V00149;2026-02-23;C0041;P026;COM04;3;323,09 €;5,0%;Téléphone;Livrée
V00150;2025-11-04;C0039;P004;COM06;9;656,05 €;5,0%;Téléphone;En cours
V00151;2025-09-06;C0073;P023;COM07;11;197,81 €;5,0%;Commercial terrain;Livrée
V00152;2026-07-03;C0051;P019;COM07;7;75,20 €;8,0%;E-commerce;Livrée
V00153;2025-07-12;C0059;P015;COM04;6;38,57 €;0,0%;Téléphone;Livrée
V00154;2025-05-01;C0142;P015;COM05;7;41,77 €;8,0%;Commercial terrain;Livrée
V00155;2026-01-25;C0137;P021;COM02;5;300,96 €;5,0%;Partenaire;Livrée
V00156;2026-04-26;C0091;P025;COM05;6;277,30 €;8,0%;Téléphone;Livrée
V00157;2025-01-17;C0074;P020;COM04;3;46,76 €;0,0%;Partenaire;Annulée
V00158;2025-09-09;C0147;P018;COM08;8;76,67 €;10,0%;Partenaire;En cours
V00159;2025-06-22;C0104;P010;COM01;12;413,45 €;0,0%;E-commerce;Annulée
V00160;2025-02-04;C0021;P001;COM01;7;392,43 €;10,0%;Téléphone;Livrée
V00161;2025-06-04;C0004;P035;COM09;8;125,47 €;8,0%;Partenaire;En cours
V00162;2025-01-17;C0003;P001;COM04;1;413,74 €;3,0%;Commercial terrain;Livrée
V00163;2026-05-30;C0127;P007;COM05;2;370,12 €;0,0%;Téléphone;Annulée
V00164;2026-06-24;C0072;P019;COM10;7;69,43 €;5,0%;Partenaire;Annulée
V00165;2025-09-07;C0063;P006;COM02;11;529,88 €;10,0%;E-commerce;Livrée
V00166;2026-02-20;C0113;P039;COM08;8;131,47 €;0,0%;Téléphone;Livrée
V00167;2026-05-27;C0128;P040;COM02;2;161,97 €;0,0%;Téléphone;Livrée
V00168;2026-08-04;C0140;P003;COM06;2;598,16 €;3,0%;E-commerce;Livrée
V00169;2025-11-19;C0006;P011;COM05;12;42,13 €;0,0%;Commercial terrain;Livrée
V00170;2026-08-01;C0069;P037;COM10;6;195,23 €;10,0%;Téléphone;Livrée
V00171;2026-05-28;C0102;P007;COM07;7;355,89 €;0,0%;Commercial terrain;Annulée
V00172;2026-09-02;C0117;P002;COM06;11;741,26 €;5,0%;Partenaire;Livrée
V00173;2025-12-31;C0112;P013;COM02;11;55,84 €;5,0%;E-commerce;Annulée
V00174;2025-10-30;C0071;P006;COM07;5;474,88 €;;Téléphone;En cours
V00175;2025-11-21;C0106;P006;COM03;1;526,68 €;5,0%;Commercial terrain;Livrée
V00176;2025-04-15;C0036;P013;COM07;7;54,85 €;8,0%;Partenaire;Livrée
V00177;2025-01-27;C0024;P039;COM04;2;141,44 €;15,0%;Commercial terrain;En cours
V00178;2025-01-13;C0083;P026;COM10;2;321,87 €;8,0%;Téléphone;Annulée
V00179;2026-06-18;C0046;P012;COM10;3;64,06 €;3,0%;Partenaire;Livrée
V00180;2025-03-06;C0045;P019;COM02;7;71,57 €;15,0%;E-commerce;Livrée
V00181;2025-09-15;C0071;P014;COM08;8;39,93 €;3,0%;E-commerce;En cours
V00182;2025-12-07;C0113;P031;COM08;6;178,18 €;15,0%;Téléphone;Livrée
V00183;2025-11-25;C0054;P022;COM10;3;188,31 €;3,0%;Commercial terrain;En cours
V00184;2026-08-13;C0070;P026;COM02;5;325,65 €;5,0%;Commercial terrain;Livrée
V00185;2026-08-01;C0054;P039;COM09;1;148,00 €;5,0%;Téléphone;En cours
V00186;2025-10-26;C0019;P034;COM04;3;164,48 €;0,0%;Commercial terrain;Livrée
V00187;2026-03-10;C0112;P031;COM01;10;179,34 €;5,0%;Partenaire;Annulée
V00188;2025-02-07;C0106;P007;COM03;4;376,61 €;3,0%;Téléphone;Annulée
V00189;2025-02-15;C0119;P030;COM04;2;137,41 €;3,0%;Téléphone;Annulée
V00190;2026-06-16;C0062;P025;COM06;7;279,12 €;10,0%;Téléphone;Livrée
V00191;2025-01-26;C0143;P020;COM07;7;51,42 €;0,0%;E-commerce;Livrée
V00192;2025-12-23;C0088;P032;COM10;4;140,61 €;3,0%;Partenaire;Livrée
V00193;2026-03-25;C0133;P005;COM04;5;357,37 €;10,0%;E-commerce;Livrée
V00194;2025-12-18;C0029;P017;COM03;9;43,71 €;0,0%;Commercial terrain;Annulée
V00195;2026-03-13;C0136;P027;COM09;11;186,67 €;10,0%;Partenaire;En cours
V00196;2025-01-30;C0053;P030;COM06;7;137,30 €;0,0%;Téléphone;Livrée
V00197;2025-03-06;C0028;P025;COM07;6;269,27 €;0,0%;Commercial terrain;En cours
V00198;2026-06-25;C0089;P027;COM08;10;184,87 €;3,0%;Partenaire;Annulée
V00199;2025-06-26;C0085;P010;COM03;6;390,20 €;3,0%;E-commerce;Livrée
V00200;2026-01-18;C0039;P029;COM06;10;152,18 €;5,0%;Partenaire;Livrée
V00201;2026-05-14;C0047;P034;COM01;5;153,96 €;3,0%;Partenaire;Annulée
V00202;2025-02-24;C0105;P034;COM09;3;155,13 €;5,0%;Partenaire;En cours
V00203;2026-05-19;C0123;P034;COM10;3;152,74 €;0,0%;Téléphone;Livrée
V00204;2025-02-03;C0078;P037;COM05;5;189,59 €;5,0%;Partenaire;Annulée
V00205;2026-06-08;C0030;P019;COM05;9;76,65 €;3,0%;E-commerce;En cours
V00206;2026-07-14;C0059;P007;COM04;12;385,00 €;15,0%;Téléphone;Livrée
V00207;2025-02-03;C0133;P024;COM04;2;300,59 €;0,0%;Téléphone;Livrée
V00208;2026-08-26;C0103;P012;COM08;10;62,93 €;0,0%;Téléphone;Livrée
V00209;2026-08-07;C0103;P037;COM08;3;193,66 €;10,0%;Commercial terrain;Livrée
V00210;2026-08-10;C0076;P010;COM05;7;433,63 €;3,0%;Téléphone;Livrée
V00211;2025-09-13;C0040;P017;COM10;11;45,03 €;0,0%;Commercial terrain;En cours
V00212;2026-01-20;C0133;P006;COM03;7;498,62 €;3,0%;Commercial terrain;En cours
V00213;2026-05-15;C0095;P006;COM09;12;528,60 €;10,0%;Commercial terrain;Livrée
V00214;2026-07-02;C0117;P030;COM05;4;146,80 €;3,0%;Commercial terrain;Livrée
V00215;2026-07-15;C0036;P023;COM08;11;216,70 €;0,0%;E-commerce;En cours
V00216;2025-01-17;C0034;P031;COM03;8;167,98 €;5,0%;Téléphone;Livrée
V00217;2025-11-06;C0043;P006;COM08;11;488,43 €;0,0%;Commercial terrain;Livrée
V00218;2025-02-23;C0117;P016;COM06;7;74,51 €;10,0%;E-commerce;Livrée
V00219;2025-08-07;C0142;P010;COM05;10;396,07 €;10,0%;Partenaire;Livrée
V00220;2025-01-09;C0101;P030;COM07;12;139,77 €;0,0%;Téléphone;En cours
V00221;2025-04-02;C0028;P022;COM07;6;186,35 €;0,0%;Partenaire;Livrée
V00222;2025-05-27;C0019;P012;COM03;8;64,78 €;0,0%;Téléphone;En cours
V00223;2026-03-30;C0059;P007;COM03;3;381,22 €;8,0%;Partenaire;Livrée
V00224;2026-03-16;C0089;P017;;5;46,55 €;0,0%;Commercial terrain;Livrée
V00225;2025-11-05;C0055;P027;COM09;5;198,54 €;15,0%;Téléphone;En cours
V00226;2026-01-31;C0030;P034;COM05;11;163,64 €;8,0%;E-commerce;Livrée
V00227;2025-11-21;C0036;P040;COM08;7;151,21 €;10,0%;Téléphone;En cours
V00228;2025-03-16;C0006;P001;COM05;5;396,68 €;0,0%;Partenaire;Annulée
V00229;2025-10-21;C0148;P030;COM08;12;145,01 €;10,0%;Téléphone;Livrée
V00230;2025-03-27;C0088;P035;COM09;4;135,59 €;0,0%;Commercial terrain;En cours
V00231;2026-08-24;C0018;P030;COM04;12;155,69 €;0,0%;E-commerce;Livrée
V00232;2025-03-30;C0128;P032;COM01;10;142,23 €;3,0%;Téléphone;Livrée
V00233;2025-01-13;C0038;P012;COM03;8;70,02 €;8,0%;Commercial terrain;Livrée
V00234;2026-01-16;C0035;P009;COM08;1;545,01 €;5,0%;Commercial terrain;Annulée
V00235;2025-03-07;C0075;P034;COM01;8;161,87 €;0,0%;Partenaire;Annulée
V00236;2025-06-20;C0109;P018;COM03;2;75,98 €;10,0%;E-commerce;Livrée
V00237;2026-06-06;C0001;P001;COM01;4;387,45 €;3,0%;Partenaire;Livrée
V00238;2025-07-03;C0011;P016;COM04;6;70,58 €;10,0%;Commercial terrain;Livrée
V00239;2025-03-21;C0111;P035;COM09;11;134,38 €;0,0%;Téléphone;Annulée
V00240;2025-02-17;C0119;P032;COM03;5;145,28 €;3,0%;Commercial terrain;Livrée
V00241;2026-07-21;C0134;P025;COM09;4;272,77 €;15,0%;Commercial terrain;Annulée
V00242;2025-09-06;C0136;P034;COM10;4;166,60 €;8,0%;Téléphone;Livrée
V00243;2025-01-07;C0121;P016;COM01;9;71,53 €;15,0%;E-commerce;Livrée
V00244;2025-01-02;C0112;P007;COM02;4;370,38 €;0,0%;Partenaire;En cours
V00245;2025-03-03;C0039;P006;COM06;1;525,26 €;15,0%;Partenaire;Livrée
V00246;2026-04-15;C0023;P035;COM09;3;129,92 €;5,0%;E-commerce;Annulée
V00247;2026-08-05;C0017;P010;COM10;4;399,62 €;15,0%;Commercial terrain;En cours
V00248;2025-12-01;C0091;P019;COM06;4;69,38 €;0,0%;Téléphone;Annulée
V00249;2025-04-22;C0042;P012;COM01;8;65,78 €;5,0%;E-commerce;Annulée
V00250;2026-01-02;C0056;P021;COM02;8;297,13 €;0,0%;E-commerce;Livrée
V00251;2025-11-08;C0012;P022;COM09;3;167,86 €;0,0%;Commercial terrain;En cours
V00252;2026-06-10;C0014;P018;COM06;3;67,75 €;5,0%;Partenaire;Annulée
V00253;2026-07-18;C0071;P032;COM07;2;145,84 €;0,0%;E-commerce;Livrée
V00254;2025-03-05;C0062;P014;COM05;7;41,41 €;10,0%;E-commerce;Annulée
V00255;2026-08-24;C0074;P002;COM03;2;733,64 €;10,0%;Partenaire;Livrée
V00256;2025-04-05;C0096;P003;COM07;8;549,32 €;8,0%;Partenaire;En cours
V00257;2026-05-24;C0009;P030;COM02;3;144,07 €;0,0%;Commercial terrain;Livrée
V00258;2026-04-02;C0041;P017;COM03;11;44,44 €;5,0%;Partenaire;Livrée
V00259;2025-03-31;C0079;P010;COM08;7;394,62 €;15,0%;Téléphone;Annulée
V00260;2025-01-20;C0113;P033;COM08;9;232,66 €;3,0%;Commercial terrain;En cours
V00261;2025-10-04;C0049;P022;COM09;10;170,85 €;15,0%;Commercial terrain;Livrée
V00262;2026-04-29;C0105;P012;COM09;2;63,88 €;0,0%;Commercial terrain;Annulée
V00263;2025-02-27;C0062;P024;COM06;3;290,07 €;8,0%;Commercial terrain;Livrée
V00264;2026-08-29;C0009;P040;COM02;10;146,67 €;0,0%;Partenaire;Annulée
V00265;2025-11-13;C0047;P003;COM02;2;549,74 €;8,0%;Téléphone;Livrée
V00266;2026-06-24;C0142;P023;COM05;10;201,20 €;0,0%;Commercial terrain;Livrée
V00267;2025-11-28;C0017;P011;COM09;10;41,51 €;0,0%;E-commerce;Annulée
V00268;2026-01-09;C0020;P027;COM08;10;184,53 €;3,0%;Commercial terrain;Livrée
V00269;2025-06-11;C0128;P022;COM02;3;182,28 €;8,0%;Commercial terrain;Livrée
V00270;2026-08-27;C0047;P021;COM02;12;314,27 €;0,0%;Téléphone;Livrée
V00271;2026-08-10;C0116;P013;COM09;10;53,89 €;15,0%;Téléphone;Annulée
V00272;2025-04-17;C0147;P023;COM07;12;197,78 €;3,0%;Commercial terrain;Livrée
V00273;2025-04-01;C0098;P001;COM06;5;396,35 €;10,0%;E-commerce;Livrée
V00274;2025-09-20;C0029;P004;COM03;7;658,29 €;5,0%;Téléphone;En cours
V00275;2026-05-20;C0112;P037;COM02;7;187,84 €;5,0%;Téléphone;Livrée
V00276;2026-04-08;C0020;P020;COM07;1;47,55 €;0,0%;E-commerce;Livrée
V00277;2025-06-24;C0112;P005;COM01;9;402,39 €;0,0%;Commercial terrain;Annulée
V00278;2026-05-10;C0009;P012;COM02;10;69,47 €;0,0%;E-commerce;Livrée
V00279;2025-12-06;C0055;P029;COM09;12;160,96 €;10,0%;Commercial terrain;Livrée
V00280;2025-11-01;C0068;P004;COM03;7;669,99 €;15,0%;Partenaire;Livrée
V00281;2025-02-25;C0106;P030;COM03;2;142,92 €;10,0%;Partenaire;Livrée
V00282;2025-04-10;C0008;P012;COM07;11;64,26 €;0,0%;Partenaire;Livrée
V00283;2025-11-12;C0117;P034;COM06;11;156,63 €;10,0%;Partenaire;Livrée
V00284;2026-01-15;C0113;P013;COM08;8;51,90 €;5,0%;Partenaire;Livrée
V00285;2025-08-20;C0076;P011;COM05;12;41,31 €;0,0%;Commercial terrain;Annulée
V00286;2026-02-28;C0065;P026;COM05;9;309,23 €;8,0%;Partenaire;Annulée
V00287;2025-08-30;C0140;P006;COM06;7;524,04 €;10,0%;E-commerce;Annulée
V00288;2026-08-08;C0040;P031;COM09;3;190,49 €;0,0%;Téléphone;Livrée
V00289;2025-05-10;C0012;P006;COM10;11;493,35 €;15,0%;Téléphone;Annulée
V00290;2025-09-22;C0091;P006;COM05;7;501,29 €;8,0%;Commercial terrain;Livrée
V00291;2026-06-17;C0135;P036;COM05;7;120,15 €;0,0%;Téléphone;Annulée
V00292;2026-08-26;C0027;P040;COM01;2;159,75 €;15,0%;Commercial terrain;En cours
V00293;2025-09-28;C0114;P040;COM10;10;153,40 €;0,0%;Commercial terrain;En cours
V00294;2025-05-28;C0119;P027;COM03;6;199,68 €;0,0%;Partenaire;Livrée
V00295;2026-01-17;C0007;P021;COM10;5;297,75 €;5,0%;E-commerce;Livrée
V00296;2025-05-18;C0085;P022;COM04;5;182,79 €;8,0%;E-commerce;Livrée
V00297;2026-03-29;C0057;P034;COM06;9;169,47 €;15,0%;E-commerce;Annulée
V00298;2025-06-12;C0018;P035;COM04;7;121,47 €;15,0%;E-commerce;Livrée
